Block,Date,Time
18571953,2024-10-20,23:59:56
18557830,2024-10-19,23:59:57
18543681,2024-10-18,23:59:57
18529561,2024-10-17,23:59:56
18515429,2024-10-16,23:59:58
18501300,2024-10-15,23:59:58
18487177,2024-10-14,23:59:59
18473071,2024-10-13,23:59:54
18458968,2024-10-12,23:59:54
18444854,2024-10-11,23:59:58
18430951,2024-10-10,23:59:58
18416871,2024-10-09,23:59:55
18402785,2024-10-08,23:59:58
18388656,2024-10-07,23:59:58
18374535,2024-10-06,23:59:56
18360419,2024-10-05,23:59:56
18346297,2024-10-04,23:59:58
18332187,2024-10-03,23:59:59
18318006,2024-10-02,23:59:58
18303815,2024-10-01,23:59:56
18289617,2024-09-30,23:59:57
18275413,2024-09-29,23:59:54
18261213,2024-09-28,23:59:59
18247002,2024-09-27,23:59:59
18232795,2024-09-26,23:59:56
18218587,2024-09-25,23:59:55
18204390,2024-09-24,23:59:54
18190191,2024-09-23,23:59:55
18175999,2024-09-22,23:59:59
18161781,2024-09-21,23:59:56
18147527,2024-09-20,23:59:56
18133257,2024-09-19,23:59:54
18118967,2024-09-18,23:59:57
18104660,2024-09-17,23:59:58
18090355,2024-09-16,23:59:55
18076024,2024-09-15,23:59:56
18061675,2024-09-14,23:59:59
18047297,2024-09-13,23:59:59
18032925,2024-09-12,23:59:57
18018560,2024-09-11,23:59:56
18004182,2024-09-10,23:59:59
17989796,2024-09-09,23:59:56
17975396,2024-09-08,23:59:55
17960989,2024-09-07,23:59:56
17946618,2024-09-06,23:59:55
17932229,2024-09-05,23:59:55
17917794,2024-09-04,23:59:58
17903402,2024-09-03,23:59:58
17888981,2024-09-02,23:59:57
17874553,2024-09-01,23:59:59
17860137,2024-08-31,23:59:56
17845727,2024-08-30,23:59:55
17831368,2024-08-29,23:59:56
17817017,2024-08-28,23:59:56
17802654,2024-08-27,23:59:54
17788305,2024-08-26,23:59:56
17773948,2024-08-25,23:59:57
17759663,2024-08-24,23:59:59
17745426,2024-08-23,23:59:58
17731201,2024-08-22,23:59:56
17716935,2024-08-21,23:59:54
17702707,2024-08-20,23:59:58
17688436,2024-08-19,23:59:59
17674163,2024-08-18,23:59:53
17659894,2024-08-17,23:59:59
17645587,2024-08-16,23:59:59
17631291,2024-08-15,23:59:55
17617005,2024-08-14,23:59:54
17602706,2024-08-13,23:59:58
17588397,2024-08-12,23:59:54
17574112,2024-08-11,23:59:55
17559833,2024-08-10,23:59:58
17545527,2024-08-09,23:59:55
17531286,2024-08-08,23:59:56
17516994,2024-08-07,23:59:57
17502712,2024-08-06,23:59:59
17488458,2024-08-05,23:59:58
17474179,2024-08-04,23:59:55
17459879,2024-08-03,23:59:58
17445565,2024-08-02,23:59:57
17431257,2024-08-01,23:59:56
17416977,2024-07-31,23:59:54
17402669,2024-07-30,23:59:58
17388368,2024-07-29,23:59:54
17374053,2024-07-28,23:59:58
17359765,2024-07-27,23:59:56
17345500,2024-07-26,23:59:54
17331239,2024-07-25,23:59:58
17316967,2024-07-24,23:59:54
17302709,2024-07-23,23:59:59
17288449,2024-07-22,23:59:55
17274117,2024-07-21,23:59:55
17259788,2024-07-20,23:59:55
17245465,2024-07-19,23:59:59
17231169,2024-07-18,23:59:59
17216919,2024-07-17,23:59:57
17202694,2024-07-16,23:59:57
17188384,2024-07-15,23:59:58
17174045,2024-07-14,23:59:54
17159703,2024-07-13,23:59:59
17145375,2024-07-12,23:59:55
17131085,2024-07-11,23:59:58
17116794,2024-07-10,23:59:58
17102474,2024-07-09,23:59:57
17088164,2024-07-08,23:59:55
17073885,2024-07-07,23:59:56
17059590,2024-07-06,23:59:53
17045326,2024-07-05,23:59:59
17031032,2024-07-04,23:59:56
17016727,2024-07-03,23:59:58
17002386,2024-07-02,23:59:58
16988054,2024-07-01,23:59:59
16973691,2024-06-30,23:59:55
16959301,2024-06-29,23:59:55
16944912,2024-06-28,23:59:54
16930558,2024-06-27,23:59:57
16916195,2024-06-26,23:59:58
16901803,2024-06-25,23:59:59
16887408,2024-06-24,23:59:56
16873014,2024-06-23,23:59:54
16861034,2024-06-22,23:59:53
16848929,2024-06-21,23:59:57
16836531,2024-06-20,23:59:57
16824121,2024-06-19,23:59:51
16811672,2024-06-18,23:59:57
16798843,2024-06-17,23:59:58
16784458,2024-06-16,23:59:58
16770031,2024-06-15,23:59:58
16755627,2024-06-14,23:59:56
16741244,2024-06-13,23:59:55
16726882,2024-06-12,23:59:58
16712485,2024-06-11,23:59:56
16698332,2024-06-10,23:59:59
16684045,2024-06-09,23:59:54
16669713,2024-06-08,23:59:54
16655394,2024-06-07,23:59:58
16641072,2024-06-06,23:59:54
16626730,2024-06-05,23:59:57
16612373,2024-06-04,23:59:56
16598018,2024-06-03,23:59:59
16583645,2024-06-02,23:59:59
16569280,2024-06-01,23:59:55
16554896,2024-05-31,23:59:56
16540548,2024-05-30,23:59:56
16526194,2024-05-29,23:59:58
16511838,2024-05-28,23:59:57
16497482,2024-05-27,23:59:59
16483087,2024-05-26,23:59:58
16468685,2024-05-25,23:59:55
16454276,2024-05-24,23:59:58
16439859,2024-05-23,23:59:56
16425453,2024-05-22,23:59:56
16411043,2024-05-21,23:59:56
16396728,2024-05-20,23:59:56
16382360,2024-05-19,23:59:55
16367981,2024-05-18,23:59:56
16353604,2024-05-17,23:59:58
16339229,2024-05-16,23:59:54
16324847,2024-05-15,23:59:55
16310439,2024-05-14,23:59:54
16296043,2024-05-13,23:59:58
16281625,2024-05-12,23:59:59
16267207,2024-05-11,23:59:57
16252809,2024-05-10,23:59:55
16238436,2024-05-09,23:59:59
16224075,2024-05-08,23:59:56
16209704,2024-05-07,23:59:57
16195366,2024-05-06,23:59:56
16180989,2024-05-05,23:59:56
16166622,2024-05-04,23:59:58
16152246,2024-05-03,23:59:56
16137962,2024-05-02,23:59:59
16123905,2024-05-01,23:59:58
16109597,2024-04-30,23:59:58
16095258,2024-04-29,23:59:57
16080921,2024-04-28,23:59:55
16066533,2024-04-27,23:59:59
16052181,2024-04-26,23:59:54
16037841,2024-04-25,23:59:59
16023499,2024-04-24,23:59:59
16009176,2024-04-23,23:59:54
15994897,2024-04-22,23:59:57
15980544,2024-04-21,23:59:59
15966201,2024-04-20,23:59:59
15951864,2024-04-19,23:59:55
15937588,2024-04-18,23:59:54
15923277,2024-04-17,23:59:59
15908953,2024-04-16,23:59:58
15894651,2024-04-15,23:59:59
15880335,2024-04-14,23:59:55
15866019,2024-04-13,23:59:55
15851652,2024-04-12,23:59:59
15837311,2024-04-11,23:59:55
15822940,2024-04-10,23:59:59
15808558,2024-04-09,23:59:59
15794195,2024-04-08,23:59:55
15779838,2024-04-07,23:59:59
15765426,2024-04-06,23:59:59
15751027,2024-04-05,23:59:57
15736625,2024-04-04,23:59:55
15722204,2024-04-03,23:59:57
15707762,2024-04-02,23:59:57
15693326,2024-04-01,23:59:55
15678862,2024-03-31,23:59:58
15664407,2024-03-30,23:59:59
15649935,2024-03-29,23:59:59
15635473,2024-03-28,23:59:58
15621051,2024-03-27,23:59:55
15606583,2024-03-26,23:59:54
15592118,2024-03-25,23:59:55
15577676,2024-03-24,23:59:56
15563207,2024-03-23,23:59:56
15548719,2024-03-22,23:59:56
15534258,2024-03-21,23:59:58
15519805,2024-03-20,23:59:56
15505343,2024-03-19,23:59:56
15490869,2024-03-18,23:59:58
15476416,2024-03-17,23:59:54
15461961,2024-03-16,23:59:56
15447478,2024-03-15,23:59:59
15433012,2024-03-14,23:59:57
15418605,2024-03-13,23:59:55
15404497,2024-03-12,23:59:57
15390111,2024-03-11,23:59:57
15375704,2024-03-10,23:59:55
15361270,2024-03-09,23:59:54
15346841,2024-03-08,23:59:54
15332416,2024-03-07,23:59:55
15317996,2024-03-06,23:59:55
15303562,2024-03-05,23:59:57
15289116,2024-03-04,23:59:56
15274641,2024-03-03,23:59:54
15260198,2024-03-02,23:59:57
15245740,2024-03-01,23:59:59
15231256,2024-02-29,23:59:55
15216763,2024-02-28,23:59:59
15202357,2024-02-27,23:59:58
15187955,2024-02-26,23:59:54
15173495,2024-02-25,23:59:58
15158995,2024-02-24,23:59:59
15144511,2024-02-23,23:59:58
15130014,2024-02-22,23:59:55
15115517,2024-02-21,23:59:55
15101066,2024-02-20,23:59:58
15086564,2024-02-19,23:59:56
15072068,2024-02-18,23:59:57
15057569,2024-02-17,23:59:56
15043119,2024-02-16,23:59:59
15028634,2024-02-15,23:59:57
15014181,2024-02-14,23:59:56
14999747,2024-02-13,23:59:57
14985335,2024-02-12,23:59:56
14970872,2024-02-11,23:59:59
14956386,2024-02-10,23:59:59
14941886,2024-02-09,23:59:56
14927433,2024-02-08,23:59:54
14912952,2024-02-07,23:59:56
14898466,2024-02-06,23:59:58
14883972,2024-02-05,23:59:58
14869486,2024-02-04,23:59:58
14854988,2024-02-03,23:59:59
14840491,2024-02-02,23:59:58
14825995,2024-02-01,23:59:56
14811524,2024-01-31,23:59:57
14797030,2024-01-30,23:59:55
14782509,2024-01-29,23:59:57
14768010,2024-01-28,23:59:57
14753511,2024-01-27,23:59:55
14739000,2024-01-26,23:59:55
14724507,2024-01-25,23:59:54
14709998,2024-01-24,23:59:55
14695502,2024-01-23,23:59:55
14681056,2024-01-22,23:59:58
14666615,2024-01-21,23:59:54
14652158,2024-01-20,23:59:59
14637702,2024-01-19,23:59:54
14623254,2024-01-18,23:59:56
14608833,2024-01-17,23:59:54
14594395,2024-01-16,23:59:56
14580123,2024-01-15,23:59:57
14565710,2024-01-14,23:59:56
14551286,2024-01-13,23:59:58
14536827,2024-01-12,23:59:56
14522361,2024-01-11,23:59:58
14507929,2024-01-10,23:59:57
14493495,2024-01-09,23:59:59
14479091,2024-01-08,23:59:55
14464669,2024-01-07,23:59:55
14450236,2024-01-06,23:59:59
14435778,2024-01-05,23:59:54
14421317,2024-01-04,23:59:55
14406947,2024-01-03,23:59:57
14392549,2024-01-02,23:59:56
14378102,2024-01-01,23:59:59
14363626,2023-12-31,23:59:56
14349158,2023-12-30,23:59:56
