Block,Date,Time
2602265,2024-10-19,23:59:56
2594953,2024-10-18,23:59:59
2587631,2024-10-17,23:59:50
2580354,2024-10-16,23:59:54
2573091,2024-10-15,23:59:58
2565784,2024-10-14,23:59:48
2558449,2024-10-13,23:59:56
2551110,2024-10-12,23:59:55
2543764,2024-10-11,23:59:51
2536418,2024-10-10,23:59:50
2529076,2024-10-09,23:59:53
2521736,2024-10-08,23:59:56
2514410,2024-10-07,23:59:53
2507084,2024-10-06,23:59:53
2499756,2024-10-05,23:59:54
2492401,2024-10-04,23:59:59
2485042,2024-10-03,23:59:59
2477689,2024-10-02,23:59:50
2470341,2024-10-01,23:59:54
2462985,2024-09-30,23:59:55
2455631,2024-09-29,23:59:55
2448274,2024-09-28,23:59:51
2440924,2024-09-27,23:59:55
2433578,2024-09-26,23:59:58
2426231,2024-09-25,23:59:49
2418882,2024-09-24,23:59:44
2411533,2024-09-23,23:59:51
2404183,2024-09-22,23:59:54
2396830,2024-09-21,23:59:53
2389475,2024-09-20,23:59:48
2382126,2024-09-19,23:59:57
2374770,2024-09-18,23:59:53
2367437,2024-09-17,23:59:58
2360098,2024-09-16,23:59:54
2352747,2024-09-15,23:59:54
2345402,2024-09-14,23:59:59
2338059,2024-09-13,23:59:53
2330716,2024-09-12,23:59:53
2323368,2024-09-11,23:59:52
2316015,2024-09-10,23:59:58
2308654,2024-09-09,23:59:54
2301294,2024-09-08,23:59:59
2293934,2024-09-07,23:59:57
2286575,2024-09-06,23:59:56
2279209,2024-09-05,23:59:48
2271852,2024-09-04,23:59:48
2264492,2024-09-03,23:59:56
2257139,2024-09-02,23:59:48
2249788,2024-09-01,23:59:57
2242424,2024-08-31,23:59:57
2235068,2024-08-30,23:59:55
2227718,2024-08-29,23:59:48
2220370,2024-08-28,23:59:50
2213024,2024-08-27,23:59:57
2205681,2024-08-26,23:59:55
2198346,2024-08-25,23:59:51
2190986,2024-08-24,23:59:54
2183629,2024-08-23,23:59:48
2176284,2024-08-22,23:59:59
2168947,2024-08-21,23:59:52
2161621,2024-08-20,23:59:50
2154306,2024-08-19,23:59:53
2146963,2024-08-18,23:59:53
2139624,2024-08-17,23:59:54
2132287,2024-08-16,23:59:58
2124952,2024-08-15,23:59:50
2117621,2024-08-14,23:59:58
2110318,2024-08-13,23:59:52
2103033,2024-08-12,23:59:50
2095753,2024-08-11,23:59:49
2088464,2024-08-10,23:59:55
2081171,2024-08-09,23:59:50
2073886,2024-08-08,23:59:59
2066592,2024-08-07,23:59:53
2059293,2024-08-06,23:59:54
2052002,2024-08-05,23:59:59
2044692,2024-08-04,23:59:54
2037402,2024-08-03,23:59:56
2030244,2024-08-02,23:59:59
2023136,2024-08-01,23:59:48
2015980,2024-07-31,23:59:58
2008855,2024-07-30,23:59:56
2001617,2024-07-29,23:59:59
1994305,2024-07-28,23:59:58
1986998,2024-07-27,23:59:51
1979693,2024-07-26,23:59:52
1972386,2024-07-25,23:59:59
1965086,2024-07-24,23:59:52
1957782,2024-07-23,23:59:52
1950483,2024-07-22,23:59:50
1943181,2024-07-21,23:59:56
1935885,2024-07-20,23:59:57
