Block,Date,Time
22696564,2024-10-19,23:59:59
22681974,2024-10-18,23:59:59
22667398,2024-10-17,23:59:59
22652805,2024-10-16,23:59:56
22638225,2024-10-15,23:59:57
22623638,2024-10-14,23:59:59
22609079,2024-10-13,23:59:56
22594497,2024-10-12,23:59:54
22579920,2024-10-11,23:59:57
22565337,2024-10-10,23:59:56
22550741,2024-10-09,23:59:59
22536134,2024-10-08,23:59:54
22521531,2024-10-07,23:59:58
22506954,2024-10-06,23:59:55
22492404,2024-10-05,23:59:56
22477861,2024-10-04,23:59:59
22463348,2024-10-03,23:59:59
22448847,2024-10-02,23:59:57
22434622,2024-10-01,23:59:57
22420025,2024-09-30,23:59:58
22405392,2024-09-29,23:59:55
22390756,2024-09-28,23:59:54
22376138,2024-09-27,23:59:58
22361551,2024-09-26,23:59:55
22346942,2024-09-25,23:59:57
22332314,2024-09-24,23:59:53
22317802,2024-09-23,23:59:58
22303235,2024-09-22,23:59:57
22288649,2024-09-21,23:59:58
22274085,2024-09-20,23:59:55
22259512,2024-09-19,23:59:54
22244945,2024-09-18,23:59:55
22230426,2024-09-17,23:59:59
22215911,2024-09-16,23:59:55
22201485,2024-09-15,23:59:54
22187019,2024-09-14,23:59:57
22172438,2024-09-13,23:59:56
22157840,2024-09-12,23:59:54
22143310,2024-09-11,23:59:58
22128862,2024-09-10,23:59:53
22114401,2024-09-09,23:59:59
22099971,2024-09-08,23:59:55
22085510,2024-09-07,23:59:56
22071082,2024-09-06,23:59:58
22056602,2024-09-05,23:59:58
22042163,2024-09-04,23:59:55
22027754,2024-09-03,23:59:54
22013270,2024-09-02,23:59:58
21998781,2024-09-01,23:59:56
21984305,2024-08-31,23:59:57
21969842,2024-08-30,23:59:54
21955441,2024-08-29,23:59:54
21941069,2024-08-28,23:59:54
21926674,2024-08-27,23:59:58
21912297,2024-08-26,23:59:59
21897881,2024-08-25,23:59:56
21883475,2024-08-24,23:59:58
21869099,2024-08-23,23:59:57
21854744,2024-08-22,23:59:59
21840402,2024-08-21,23:59:53
21826561,2024-08-20,23:59:55
21812043,2024-08-19,23:59:56
21797540,2024-08-18,23:59:56
21783039,2024-08-17,23:59:59
21768532,2024-08-16,23:59:57
21754092,2024-08-15,23:59:55
21739621,2024-08-14,23:59:58
21725150,2024-08-13,23:59:55
21710777,2024-08-12,23:59:59
21696308,2024-08-11,23:59:54
21681797,2024-08-10,23:59:55
21667277,2024-08-09,23:59:59
21652778,2024-08-08,23:59:59
21638283,2024-08-07,23:59:55
21623819,2024-08-06,23:59:57
21609374,2024-08-05,23:59:59
21594952,2024-08-04,23:59:58
21580519,2024-08-03,23:59:56
21566112,2024-08-02,23:59:56
21551737,2024-08-01,23:59:53
21537378,2024-07-31,23:59:57
21523027,2024-07-30,23:59:58
21508659,2024-07-29,23:59:59
21494268,2024-07-28,23:59:54
21479845,2024-07-27,23:59:56
21465432,2024-07-26,23:59:54
21451032,2024-07-25,23:59:57
21436633,2024-07-24,23:59:59
21422225,2024-07-23,23:59:56
21408267,2024-07-22,23:59:54
21393931,2024-07-21,23:59:56
21379370,2024-07-20,23:59:58
21364708,2024-07-19,23:59:56
21350160,2024-07-18,23:59:58
21335953,2024-07-17,23:59:54
21321962,2024-07-16,23:59:59
21307737,2024-07-15,23:59:55
21293514,2024-07-14,23:59:56
21279290,2024-07-13,23:59:56
21265063,2024-07-12,23:59:58
21250859,2024-07-11,23:59:57
21236663,2024-07-10,23:59:55
21222507,2024-07-09,23:59:56
21208368,2024-07-08,23:59:54
21194209,2024-07-07,23:59:58
21180041,2024-07-06,23:59:56
21165877,2024-07-05,23:59:55
21151728,2024-07-04,23:59:55
21137589,2024-07-03,23:59:59
21123431,2024-07-02,23:59:59
21109235,2024-07-01,23:59:55
21095055,2024-06-30,23:59:58
21080855,2024-06-29,23:59:57
21066672,2024-06-28,23:59:59
21052508,2024-06-27,23:59:57
21038337,2024-06-26,23:59:54
21024158,2024-06-25,23:59:55
21010012,2024-06-24,23:59:55
20995883,2024-06-23,23:59:57
