Block,Date,Time
1542552,2024-10-20,23:59:46
1536928,2024-10-19,23:59:50
1531310,2024-10-18,23:59:57
1525693,2024-10-17,23:59:52
1520075,2024-10-16,23:59:46
1514456,2024-10-15,23:59:56
1508837,2024-10-14,23:59:56
1503220,2024-10-13,23:59:45
1497605,2024-10-12,23:59:55
1491995,2024-10-11,23:59:44
1486394,2024-10-10,23:59:51
1480799,2024-10-09,23:59:47
1475197,2024-10-08,23:59:45
1469593,2024-10-07,23:59:49
1463986,2024-10-06,23:59:44
1458386,2024-10-05,23:59:49
1452786,2024-10-04,23:59:52
1447179,2024-10-03,23:59:45
1441577,2024-10-02,23:59:48
1435975,2024-10-01,23:59:52
1430370,2024-09-30,23:59:58
1424765,2024-09-29,23:59:49
1419155,2024-09-28,23:59:48
1413549,2024-09-27,23:59:54
1407946,2024-09-26,23:59:53
1402338,2024-09-25,23:59:46
1396729,2024-09-24,23:59:54
1391120,2024-09-23,23:59:57
1385510,2024-09-22,23:59:59
1379899,2024-09-21,23:59:52
1374290,2024-09-20,23:59:48
1368681,2024-09-19,23:59:46
1363074,2024-09-18,23:59:54
1357469,2024-09-17,23:59:57
1351866,2024-09-16,23:59:46
1346231,2024-09-15,23:59:49
1340581,2024-09-14,23:59:51
1334930,2024-09-13,23:59:45
1329277,2024-09-12,23:59:59
1323628,2024-09-11,23:59:46
1317975,2024-09-10,23:59:47
1312325,2024-09-09,23:59:54
1306689,2024-09-08,23:59:49
1300932,2024-09-07,23:59:48
1295178,2024-09-06,23:59:46
1289425,2024-09-05,23:59:53
1283672,2024-09-04,23:59:46
1277927,2024-09-03,23:59:58
1272193,2024-09-02,23:59:56
1266437,2024-09-01,23:59:59
1260683,2024-08-31,23:59:56
1254929,2024-08-30,23:59:51
1249174,2024-08-29,23:59:56
1243421,2024-08-28,23:59:57
1237665,2024-08-27,23:59:45
1231909,2024-08-26,23:59:54
1226150,2024-08-25,23:59:47
1220395,2024-08-24,23:59:49
1214642,2024-08-23,23:59:45
1208901,2024-08-22,23:59:56
1203164,2024-08-21,23:59:57
1197426,2024-08-20,23:59:58
1191688,2024-08-19,23:59:45
1185950,2024-08-18,23:59:50
1180217,2024-08-17,23:59:58
1174481,2024-08-16,23:59:45
1168744,2024-08-15,23:59:53
1163007,2024-08-14,23:59:53
1157269,2024-08-13,23:59:48
1151530,2024-08-12,23:59:53
1145791,2024-08-11,23:59:59
1140057,2024-08-10,23:59:58
1134323,2024-08-09,23:59:45
1128583,2024-08-08,23:59:54
1122849,2024-08-07,23:59:44
1117129,2024-08-06,23:59:39
1111424,2024-08-05,23:59:56
1105707,2024-08-04,23:59:51
1099977,2024-08-03,23:59:55
1094239,2024-08-02,23:59:49
1088513,2024-08-01,23:59:57
1082798,2024-07-31,23:59:45
1077095,2024-07-30,23:59:44
1071377,2024-07-29,23:59:45
1065643,2024-07-28,23:59:46
1059912,2024-07-27,23:59:59
1054180,2024-07-26,23:59:54
1048450,2024-07-25,23:59:56
1042725,2024-07-24,23:59:51
1036999,2024-07-23,23:59:50
1031262,2024-07-22,23:59:48
1025569,2024-07-21,23:59:47
1019934,2024-07-20,23:59:45
1014294,2024-07-19,23:59:47
1008653,2024-07-18,23:59:58
1003010,2024-07-17,23:59:48
997371,2024-07-16,23:59:53
991729,2024-07-15,23:59:56
986084,2024-07-14,23:59:49
980443,2024-07-13,23:59:54
974800,2024-07-12,23:59:51
969156,2024-07-11,23:59:50
963515,2024-07-10,23:59:52
957871,2024-07-09,23:59:52
952225,2024-07-08,23:59:44
946581,2024-07-07,23:59:51
940936,2024-07-06,23:59:53
935296,2024-07-05,23:59:56
929652,2024-07-04,23:59:50
924006,2024-07-03,23:59:59
918433,2024-07-02,23:59:42
912956,2024-07-01,23:59:56
907479,2024-06-30,23:59:52
902016,2024-06-29,23:59:51
896544,2024-06-28,23:59:46
891071,2024-06-27,23:59:55
885740,2024-06-26,23:59:45
880261,2024-06-25,23:59:59
874797,2024-06-24,23:59:55
869328,2024-06-23,23:59:45
863856,2024-06-22,23:59:55
858384,2024-06-21,23:59:46
852909,2024-06-20,23:59:51
847427,2024-06-19,23:59:51
841941,2024-06-18,23:59:56
836458,2024-06-17,23:59:49
831012,2024-06-16,23:59:55
825583,2024-06-15,23:59:44
820151,2024-06-14,23:59:49
814720,2024-06-13,23:59:55
809287,2024-06-12,23:59:59
803852,2024-06-11,23:59:52
798417,2024-06-10,23:59:48
792977,2024-06-09,23:59:54
787538,2024-06-08,23:59:44
782104,2024-06-07,23:59:55
776667,2024-06-06,23:59:53
771236,2024-06-05,23:59:45
765810,2024-06-04,23:59:54
760375,2024-06-03,23:59:59
754933,2024-06-02,23:59:57
749500,2024-06-01,23:59:56
744071,2024-05-31,23:59:45
738647,2024-05-30,23:59:57
733225,2024-05-29,23:59:45
727804,2024-05-28,23:59:54
722379,2024-05-27,23:59:47
716947,2024-05-26,23:59:56
711524,2024-05-25,23:59:59
706100,2024-05-24,23:59:47
700675,2024-05-23,23:59:45
695242,2024-05-22,23:59:56
689809,2024-05-21,23:59:46
684375,2024-05-20,23:59:49
678928,2024-05-19,23:59:49
673484,2024-05-18,23:59:50
668040,2024-05-17,23:59:49
662593,2024-05-16,23:59:45
657142,2024-05-15,23:59:44
651689,2024-05-14,23:59:49
646238,2024-05-13,23:59:58
640781,2024-05-12,23:59:56
635324,2024-05-11,23:59:57
629868,2024-05-10,23:59:44
624413,2024-05-09,23:59:47
618955,2024-05-08,23:59:58
613498,2024-05-07,23:59:55
608038,2024-05-06,23:59:48
602573,2024-05-05,23:59:54
597110,2024-05-04,23:59:53
591646,2024-05-03,23:59:54
586183,2024-05-02,23:59:47
580725,2024-05-01,23:59:45
575264,2024-04-30,23:59:50
569806,2024-04-29,23:59:51
564343,2024-04-28,23:59:46
558886,2024-04-27,23:59:53
553426,2024-04-26,23:59:48
547950,2024-04-25,23:59:48
542474,2024-04-24,23:59:55
536999,2024-04-23,23:59:46
531526,2024-04-22,23:59:48
526052,2024-04-21,23:59:45
520581,2024-04-20,23:59:58
515107,2024-04-19,23:59:53
509633,2024-04-18,23:59:46
504158,2024-04-17,23:59:52
498688,2024-04-16,23:59:46
493218,2024-04-15,23:59:45
487763,2024-04-14,23:59:50
482319,2024-04-13,23:59:54
476868,2024-04-12,23:59:53
