Block,Date,Time
13164594,2024-10-20,23:59:59
13118231,2024-10-19,23:59:59
13072172,2024-10-18,23:59:59
13026242,2024-10-17,23:59:58
12980376,2024-10-16,23:59:59
12934992,2024-10-15,23:59:58
12889052,2024-10-14,23:59:58
12843167,2024-10-13,23:59:58
12797318,2024-10-12,23:59:58
12750970,2024-10-11,23:59:58
12704749,2024-10-10,23:59:58
12658377,2024-10-09,23:59:59
12612025,2024-10-08,23:59:58
12565707,2024-10-07,23:59:58
12519631,2024-10-06,23:59:58
12473963,2024-10-05,23:59:59
12428291,2024-10-04,23:59:58
12382361,2024-10-03,23:59:59
12336409,2024-10-02,23:59:59
12290761,2024-10-01,23:59:59
12245358,2024-09-30,23:59:59
12200495,2024-09-29,23:59:58
12155070,2024-09-28,23:59:59
12109490,2024-09-27,23:59:59
12063864,2024-09-26,23:59:58
12019246,2024-09-25,23:59:59
11975644,2024-09-24,23:59:59
11931133,2024-09-23,23:59:57
11886737,2024-09-22,23:59:58
11842104,2024-09-21,23:59:59
11797654,2024-09-20,23:59:55
11753215,2024-09-19,23:59:58
11708658,2024-09-18,23:59:59
11664008,2024-09-17,23:59:59
11619468,2024-09-16,23:59:59
11575030,2024-09-15,23:59:59
11530396,2024-09-14,23:59:59
11485978,2024-09-13,23:59:59
11441901,2024-09-12,23:59:59
11397503,2024-09-11,23:59:59
11352945,2024-09-10,23:59:59
11309191,2024-09-09,23:59:59
11264959,2024-09-08,23:59:58
11220822,2024-09-07,23:59:58
11176533,2024-09-06,23:59:59
11132518,2024-09-05,23:59:54
11088560,2024-09-04,23:59:59
11044554,2024-09-03,23:59:58
11000235,2024-09-02,23:59:58
10955763,2024-09-01,23:59:59
10911905,2024-08-31,23:59:59
10867845,2024-08-30,23:59:59
10823577,2024-08-29,23:59:58
10779270,2024-08-28,23:59:57
10735074,2024-08-27,23:59:58
10690859,2024-08-26,23:59:58
10646413,2024-08-25,23:59:59
10601438,2024-08-24,23:59:58
10556511,2024-08-23,23:59:58
10511958,2024-08-22,23:59:59
10468382,2024-08-21,23:59:58
10424037,2024-08-20,23:59:58
10379665,2024-08-19,23:59:58
10335573,2024-08-18,23:59:59
10291451,2024-08-17,23:59:58
10248121,2024-08-16,23:59:54
10204227,2024-08-15,23:59:59
10160259,2024-08-14,23:59:58
10117861,2024-08-13,23:59:55
10075846,2024-08-12,23:59:59
10033028,2024-08-11,23:59:58
9990121,2024-08-10,23:59:59
9947579,2024-08-09,23:59:59
9906482,2024-08-08,23:59:59
9865327,2024-08-07,23:59:53
9824359,2024-08-06,23:59:55
9783682,2024-08-05,23:59:57
9742672,2024-08-04,23:59:54
9702115,2024-08-03,23:59:59
9660946,2024-08-02,23:59:59
9620242,2024-08-01,23:59:59
9579111,2024-07-31,23:59:58
9537836,2024-07-30,23:59:54
9496943,2024-07-29,23:59:54
9455439,2024-07-28,23:59:59
9414125,2024-07-27,23:59:58
9372767,2024-07-26,23:59:58
9331446,2024-07-25,23:59:59
9290787,2024-07-24,23:59:59
9249887,2024-07-23,23:59:58
9208792,2024-07-22,23:59:59
9167345,2024-07-21,23:59:59
9126914,2024-07-20,23:59:59
9086193,2024-07-19,23:59:58
9045291,2024-07-18,23:59:59
9004356,2024-07-17,23:59:59
8963059,2024-07-16,23:59:58
8921568,2024-07-15,23:59:59
8879997,2024-07-14,23:59:59
8838412,2024-07-13,23:59:59
8797212,2024-07-12,23:59:59
8756296,2024-07-11,23:59:59
8715458,2024-07-10,23:59:59
8674634,2024-07-09,23:59:58
8633707,2024-07-08,23:59:59
8592399,2024-07-07,23:59:59
8551469,2024-07-06,23:59:59
8510316,2024-07-05,23:59:59
8469549,2024-07-04,23:59:58
8428717,2024-07-03,23:59:58
8388103,2024-07-02,23:59:58
8348070,2024-07-01,23:59:57
8307362,2024-06-30,23:59:59
8266808,2024-06-29,23:59:58
8226574,2024-06-28,23:59:57
8186104,2024-06-27,23:59:58
8145189,2024-06-26,23:59:59
8104021,2024-06-25,23:59:58
8062874,2024-06-24,23:59:58
8022031,2024-06-23,23:59:55
7981786,2024-06-22,23:59:58
7940934,2024-06-21,23:59:55
7900082,2024-06-20,23:59:58
7859263,2024-06-19,23:59:58
7818397,2024-06-18,23:59:59
7777929,2024-06-17,23:59:59
7735195,2024-06-16,23:59:59
7692462,2024-06-15,23:59:56
7649627,2024-06-14,23:59:58
7606778,2024-06-13,23:59:58
7563766,2024-06-12,23:59:59
7520534,2024-06-11,23:59:59
7477763,2024-06-10,23:59:59
7436974,2024-06-09,23:59:59
7394462,2024-06-08,23:59:59
7352009,2024-06-07,23:59:59
7310307,2024-06-06,23:59:55
7268255,2024-06-05,23:59:58
7226440,2024-06-04,23:59:58
7184682,2024-06-03,23:59:58
7143316,2024-06-02,23:59:58
7101966,2024-06-02,00:00:06
7060555,2024-05-31,23:59:59
