Block,Date,Time
22685107,2024-10-20,23:59:59
22632888,2024-10-19,23:59:59
22580555,2024-10-18,23:59:59
22528496,2024-10-17,23:59:59
22476535,2024-10-16,23:59:59
22424986,2024-10-15,23:59:59
22373330,2024-10-14,23:59:59
22322270,2024-10-13,23:59:58
22270482,2024-10-12,23:59:59
22218809,2024-10-11,23:59:59
22168756,2024-10-10,23:59:59
22118743,2024-10-09,23:59:58
22068593,2024-10-08,23:59:59
22018670,2024-10-07,23:59:59
21969258,2024-10-06,23:59:58
21918902,2024-10-05,23:59:57
21868444,2024-10-04,23:59:59
21817909,2024-10-03,23:59:59
21767063,2024-10-02,23:59:59
21715577,2024-10-01,23:59:58
21664518,2024-09-30,23:59:58
21614027,2024-09-29,23:59:58
21563049,2024-09-28,23:59:58
21511859,2024-09-27,23:59:59
21460959,2024-09-26,23:59:59
21409913,2024-09-25,23:59:59
21358766,2024-09-24,23:59:58
21307298,2024-09-23,23:59:59
21255957,2024-09-22,23:59:59
21204701,2024-09-21,23:59:58
21152611,2024-09-20,23:59:59
21100606,2024-09-19,23:59:59
21059593,2024-09-18,23:59:58
21015037,2024-09-17,23:59:59
20965928,2024-09-16,23:59:58
20916162,2024-09-15,23:59:58
20865911,2024-09-14,23:59:58
20815780,2024-09-13,23:59:59
20765624,2024-09-12,23:59:58
20715425,2024-09-11,23:59:59
20665099,2024-09-10,23:59:59
20615426,2024-09-09,23:59:58
20565716,2024-09-08,23:59:59
20515901,2024-09-07,23:59:58
20466736,2024-09-06,23:59:59
20417167,2024-09-05,23:59:58
20367650,2024-09-04,23:59:59
20318143,2024-09-03,23:59:59
20268855,2024-09-02,23:59:58
20219686,2024-09-01,23:59:59
20170263,2024-08-31,23:59:58
20120389,2024-08-30,23:59:59
20070489,2024-08-29,23:59:59
20020426,2024-08-28,23:59:59
19970181,2024-08-27,23:59:59
19920083,2024-08-26,23:59:58
19870542,2024-08-25,23:59:59
19820477,2024-08-24,23:59:58
19771139,2024-08-23,23:59:58
19723028,2024-08-22,23:59:59
19674544,2024-08-21,23:59:59
19626953,2024-08-20,23:59:58
19579594,2024-08-19,23:59:59
19531931,2024-08-18,23:59:58
19484291,2024-08-17,23:59:58
19436916,2024-08-16,23:59:59
19389918,2024-08-15,23:59:59
19343375,2024-08-14,23:59:58
19297140,2024-08-13,23:59:59
19251559,2024-08-12,23:59:58
19206538,2024-08-11,23:59:59
19161848,2024-08-10,23:59:59
19116909,2024-08-09,23:59:58
19071826,2024-08-08,23:59:59
19026664,2024-08-07,23:59:59
18981831,2024-08-06,23:59:57
18936487,2024-08-05,23:59:59
18890496,2024-08-04,23:59:57
18843951,2024-08-03,23:59:58
18797550,2024-08-02,23:59:59
18752029,2024-08-01,23:59:59
18707562,2024-07-31,23:59:57
18661932,2024-07-30,23:59:59
18616073,2024-07-29,23:59:58
18570432,2024-07-28,23:59:59
18524429,2024-07-27,23:59:58
18478565,2024-07-26,23:59:58
18432864,2024-07-25,23:59:59
18388929,2024-07-24,23:59:57
18344740,2024-07-23,23:59:58
18300676,2024-07-22,23:59:59
18257105,2024-07-21,23:59:58
18213452,2024-07-20,23:59:58
18169594,2024-07-19,23:59:59
18125913,2024-07-18,23:59:58
18082587,2024-07-17,23:59:59
18039809,2024-07-16,23:59:59
17996978,2024-07-15,23:59:56
17953880,2024-07-14,23:59:56
17911832,2024-07-13,23:59:59
17869734,2024-07-12,23:59:57
17827739,2024-07-11,23:59:59
17786453,2024-07-10,23:59:58
17745034,2024-07-09,23:59:59
17703572,2024-07-08,23:59:58
17662280,2024-07-07,23:59:59
17620554,2024-07-06,23:59:59
17579030,2024-07-05,23:59:57
17537739,2024-07-04,23:59:59
17497057,2024-07-03,23:59:56
17456463,2024-07-02,23:59:59
17415983,2024-07-01,23:59:57
17375645,2024-06-30,23:59:58
17334976,2024-06-29,23:59:59
17294646,2024-06-28,23:59:59
17254267,2024-06-27,23:59:58
17213711,2024-06-26,23:59:58
17173558,2024-06-25,23:59:57
17133615,2024-06-24,23:59:58
17093824,2024-06-23,23:59:59
17053856,2024-06-22,23:59:59
17013741,2024-06-21,23:59:59
16974850,2024-06-20,23:59:58
16936955,2024-06-19,23:59:59
16899116,2024-06-18,23:59:58
16863530,2024-06-17,23:59:59
16830128,2024-06-17,00:00:45
16795410,2024-06-15,23:59:58
16758871,2024-06-14,23:59:57
16723150,2024-06-13,23:59:59
16687868,2024-06-12,23:59:59
16652678,2024-06-11,23:59:58
16617703,2024-06-10,23:59:59
16583025,2024-06-09,23:59:58
16548716,2024-06-08,23:59:58
16514290,2024-06-07,23:59:57
16479821,2024-06-07,00:00:00
16445371,2024-06-06,00:00:00
16410798,2024-06-04,23:59:57
16376433,2024-06-03,23:59:53
16342043,2024-06-02,23:59:57
16307805,2024-06-01,23:59:56
16273599,2024-05-31,23:59:56
16239439,2024-05-30,23:59:51
16205737,2024-05-29,23:59:39
16172705,2024-05-28,23:59:28
16139624,2024-05-27,23:59:17
16106601,2024-05-26,23:59:31
16073419,2024-05-25,23:59:24
16040344,2024-05-24,23:59:03
16007515,2024-05-23,23:58:39
15974547,2024-05-22,23:58:35
15941988,2024-05-21,23:57:11
15909692,2024-05-20,23:55:49
15878582,2024-05-19,23:37:46
15848295,2024-05-18,23:20:38
