Block,Date,Time
15913769,2024-10-19,23:59:57
15899273,2024-10-18,23:59:56
15884707,2024-10-17,23:59:58
15870113,2024-10-16,23:59:58
15855510,2024-10-15,23:59:58
15840898,2024-10-14,23:59:55
15826295,2024-10-13,23:59:56
15811687,2024-10-12,23:59:54
15797099,2024-10-11,23:59:55
15782522,2024-10-10,23:59:59
15767920,2024-10-09,23:59:59
15753322,2024-10-08,23:59:55
15738671,2024-10-07,23:59:55
15724044,2024-10-06,23:59:57
15709647,2024-10-05,23:59:55
15695088,2024-10-04,23:59:58
15680392,2024-10-03,23:59:57
15665732,2024-10-02,23:59:54
15651116,2024-10-01,23:59:58
15636491,2024-09-30,23:59:58
15621893,2024-09-29,23:59:57
15607307,2024-09-28,23:59:54
15592718,2024-09-27,23:59:55
15578124,2024-09-26,23:59:54
15563517,2024-09-25,23:59:56
15548880,2024-09-24,23:59:58
15534250,2024-09-23,23:59:59
15519594,2024-09-22,23:59:55
15504947,2024-09-21,23:59:58
15490302,2024-09-20,23:59:58
15475654,2024-09-19,23:59:58
15461012,2024-09-18,23:59:54
15446365,2024-09-17,23:59:57
15431707,2024-09-16,23:59:57
15416977,2024-09-15,23:59:57
15402270,2024-09-14,23:59:56
15387556,2024-09-13,23:59:59
15372855,2024-09-12,23:59:56
15358166,2024-09-11,23:59:54
15343498,2024-09-10,23:59:56
15328888,2024-09-09,23:59:59
15314205,2024-09-08,23:59:57
15299546,2024-09-07,23:59:54
15284881,2024-09-06,23:59:57
15270205,2024-09-05,23:59:57
15255533,2024-09-04,23:59:55
15240830,2024-09-03,23:59:57
15226190,2024-09-02,23:59:58
15211565,2024-09-01,23:59:59
15196893,2024-08-31,23:59:56
15182225,2024-08-30,23:59:58
15167553,2024-08-29,23:59:57
15152871,2024-08-28,23:59:58
15138192,2024-08-27,23:59:59
15123504,2024-08-26,23:59:59
15108814,2024-08-25,23:59:56
15094171,2024-08-24,23:59:58
15079582,2024-08-23,23:59:59
15064989,2024-08-22,23:59:56
15050352,2024-08-21,23:59:57
15035684,2024-08-20,23:59:58
15021036,2024-08-19,23:59:56
15006413,2024-08-18,23:59:54
14991760,2024-08-17,23:59:54
14977095,2024-08-16,23:59:56
14962444,2024-08-15,23:59:57
14947782,2024-08-14,23:59:55
14933135,2024-08-13,23:59:54
14918573,2024-08-12,23:59:55
14904030,2024-08-11,23:59:54
14889429,2024-08-10,23:59:58
14874780,2024-08-09,23:59:58
14860135,2024-08-08,23:59:56
14845472,2024-08-07,23:59:57
14830822,2024-08-06,23:59:57
14816172,2024-08-05,23:59:54
14801542,2024-08-04,23:59:54
14787025,2024-08-03,23:59:53
14772470,2024-08-02,23:59:57
14757814,2024-08-01,23:59:55
14743186,2024-07-31,23:59:57
14728576,2024-07-30,23:59:57
14713849,2024-07-29,23:59:55
14699183,2024-07-28,23:59:59
14684550,2024-07-27,23:59:58
14669839,2024-07-26,23:59:56
14655146,2024-07-25,23:59:58
14640479,2024-07-24,23:59:55
14625763,2024-07-23,23:59:58
14611045,2024-07-22,23:59:56
14596337,2024-07-21,23:59:56
14581687,2024-07-20,23:59:58
14567030,2024-07-19,23:59:56
14552352,2024-07-18,23:59:57
14537665,2024-07-17,23:59:55
14522981,2024-07-16,23:59:56
14508282,2024-07-15,23:59:57
14493556,2024-07-14,23:59:54
14478823,2024-07-13,23:59:55
14464093,2024-07-12,23:59:57
14449367,2024-07-11,23:59:58
14434636,2024-07-10,23:59:58
14419909,2024-07-09,23:59:57
14405146,2024-07-08,23:59:58
14390384,2024-07-07,23:59:57
14375636,2024-07-06,23:59:58
14360918,2024-07-05,23:59:57
14346234,2024-07-04,23:59:58
14331569,2024-07-03,23:59:59
14316843,2024-07-02,23:59:54
14302093,2024-07-01,23:59:57
14287351,2024-06-30,23:59:54
14272719,2024-06-29,23:59:57
14258349,2024-06-28,23:59:56
14244103,2024-06-27,23:59:57
14229508,2024-06-26,23:59:57
14214919,2024-06-25,23:59:57
14200344,2024-06-24,23:59:56
14185765,2024-06-23,23:59:57
14171212,2024-06-22,23:59:54
14156641,2024-06-21,23:59:59
14142077,2024-06-20,23:59:57
14127490,2024-06-19,23:59:56
14112892,2024-06-18,23:59:57
14098288,2024-06-17,23:59:54
14083716,2024-06-16,23:59:57
14069146,2024-06-15,23:59:57
14054594,2024-06-14,23:59:54
14040075,2024-06-13,23:59:55
14025500,2024-06-12,23:59:56
14010933,2024-06-11,23:59:56
13996377,2024-06-10,23:59:56
13981780,2024-06-09,23:59:55
13967147,2024-06-08,23:59:59
13952556,2024-06-07,23:59:59
13937929,2024-06-06,23:59:58
13923300,2024-06-05,23:59:55
13908650,2024-06-04,23:59:54
13893993,2024-06-03,23:59:55
13879317,2024-06-02,23:59:57
13864685,2024-06-01,23:59:55
13850061,2024-05-31,23:59:54
13835423,2024-05-30,23:59:56
13820769,2024-05-29,23:59:56
13806126,2024-05-28,23:59:56
13791541,2024-05-27,23:59:56
13776877,2024-05-26,23:59:56
13762456,2024-05-25,23:59:55
13747799,2024-05-24,23:59:58
13733145,2024-05-23,23:59:58
13718496,2024-05-22,23:59:54
13703820,2024-05-21,23:59:58
13689166,2024-05-20,23:59:54
