Block,Date,Time
14438023,2024-10-19,23:59:55
14423141,2024-10-18,23:59:55
14408258,2024-10-17,23:59:55
14393410,2024-10-16,23:59:54
14378540,2024-10-15,23:59:56
14363675,2024-10-14,23:59:59
14348963,2024-10-13,23:59:55
14334033,2024-10-12,23:59:56
14319136,2024-10-11,23:59:51
14304213,2024-10-10,23:59:58
14289301,2024-10-09,23:59:58
14274373,2024-10-08,23:59:59
14259436,2024-10-07,23:59:54
14244534,2024-10-06,23:59:59
14229649,2024-10-05,23:59:56
14214749,2024-10-04,23:59:57
14199869,2024-10-03,23:59:57
14185050,2024-10-02,23:59:57
14170169,2024-10-01,23:59:55
14155270,2024-09-30,23:59:59
14140349,2024-09-29,23:59:54
14125450,2024-09-28,23:59:56
14110545,2024-09-27,23:59:57
14095652,2024-09-26,23:59:55
14080759,2024-09-25,23:59:55
14065867,2024-09-24,23:59:57
14050977,2024-09-23,23:59:56
14036100,2024-09-22,23:59:56
14021210,2024-09-21,23:59:55
14006296,2024-09-20,23:59:57
13991461,2024-09-19,23:59:55
13977183,2024-09-18,23:59:56
13962339,2024-09-17,23:59:55
13947514,2024-09-16,23:59:57
13932699,2024-09-15,23:59:55
13917910,2024-09-14,23:59:58
13903104,2024-09-13,23:59:54
13888332,2024-09-12,23:59:56
13873533,2024-09-11,23:59:58
13858688,2024-09-10,23:59:59
13843861,2024-09-09,23:59:58
13829069,2024-09-08,23:59:56
13814269,2024-09-07,23:59:57
13799439,2024-09-06,23:59:58
13784615,2024-09-05,23:59:57
13769804,2024-09-04,23:59:54
13754983,2024-09-03,23:59:57
13740234,2024-09-02,23:59:58
13725420,2024-09-01,23:59:55
13710692,2024-08-31,23:59:59
13695924,2024-08-30,23:59:58
13681125,2024-08-29,23:59:58
13666304,2024-08-28,23:59:59
13651499,2024-08-27,23:59:58
13636674,2024-08-26,23:59:56
13621828,2024-08-25,23:59:57
13606995,2024-08-24,23:59:54
13592163,2024-08-23,23:59:58
13577321,2024-08-22,23:59:54
13562492,2024-08-21,23:59:55
13547677,2024-08-20,23:59:57
13532848,2024-08-19,23:59:55
13518017,2024-08-18,23:59:54
13503199,2024-08-17,23:59:55
13488360,2024-08-16,23:59:59
13473420,2024-08-15,23:59:56
13458467,2024-08-14,23:59:58
13443524,2024-08-13,23:59:59
13428594,2024-08-12,23:59:59
13413672,2024-08-11,23:59:59
13398779,2024-08-10,23:59:55
13383888,2024-08-09,23:59:52
13369070,2024-08-08,23:59:58
13354249,2024-08-07,23:59:55
13339409,2024-08-06,23:59:56
13324566,2024-08-05,23:59:57
13309789,2024-08-04,23:59:55
13294981,2024-08-03,23:59:56
13280124,2024-08-02,23:59:59
13265260,2024-08-01,23:59:59
13250394,2024-07-31,23:59:59
13235501,2024-07-30,23:59:59
13220603,2024-07-29,23:59:55
13205734,2024-07-28,23:59:58
13190831,2024-07-27,23:59:56
13175946,2024-07-26,23:59:59
13161057,2024-07-25,23:59:55
13146186,2024-07-24,23:59:55
13131316,2024-07-23,23:59:56
13116433,2024-07-22,23:59:55
13101801,2024-07-21,23:59:56
13087083,2024-07-20,23:59:58
13072260,2024-07-19,23:59:55
13057447,2024-07-18,23:59:55
13042725,2024-07-17,23:59:54
13027899,2024-07-16,23:59:55
13013068,2024-07-15,23:59:54
12998300,2024-07-14,23:59:59
12983563,2024-07-13,23:59:59
12968755,2024-07-12,23:59:56
